bairro,grau,ordem_ego,tamanho_ego,densidade_ego
recife,1,2,1,1.0
santo amaro,1,2,1,1.0
boa vista,4,7,7,0.3333333333333333
cabanga,1,7,7,0.3333333333333333
ilha do leite,2,7,7,0.3333333333333333
paissandu,2,7,7,0.3333333333333333
santo antonio,2,7,7,0.3333333333333333
sao jose,2,7,7,0.3333333333333333
soledade,1,7,7,0.3333333333333333
coelhos,1,2,1,1.0
ilha joana bezerra,1,2,1,1.0
arruda,4,9,16,0.4444444444444444
campina do barreto,2,9,16,0.4444444444444444
campo grande,6,9,16,0.4444444444444444
encruzilhada,5,9,16,0.4444444444444444
hipodromo,3,9,16,0.4444444444444444
peixinhos,3,9,16,0.4444444444444444
ponto de parada,5,9,16,0.4444444444444444
rosarinho,2,9,16,0.4444444444444444
torreao,2,9,16,0.4444444444444444
agua fria,6,9,15,0.4166666666666667
alto santa terezinha,3,9,15,0.4166666666666667
bomba do hemeterio,2,9,15,0.4166666666666667
cajueiro,2,9,15,0.4166666666666667
fundao,3,9,15,0.4166666666666667
porto da madeira,4,9,15,0.4166666666666667
beberibe,4,9,15,0.4166666666666667
dois unidos,2,9,15,0.4166666666666667
linha do tiro,4,9,15,0.4166666666666667
beberibe,2,3,3,1.0
dois unidos,2,3,3,1.0
linha do tiro,2,3,3,1.0
aflitos,2,16,27,0.225
alto do mandu,3,16,27,0.225
apipucos,3,16,27,0.225
casa amarela,6,16,27,0.225
casa forte,4,16,27,0.225
derby,1,16,27,0.225
dois irmaos,2,16,27,0.225
espinheiro,2,16,27,0.225
gracas,5,16,27,0.225
jaqueira,4,16,27,0.225
monteiro,4,16,27,0.225
parnamirim,5,16,27,0.225
poco,4,16,27,0.225
santana,4,16,27,0.225
sitio dos pintos,1,16,27,0.225
tamarineira,4,16,27,0.225
alto jose bonifacio,3,5,6,0.6
alto jose do pinho,3,5,6,0.6
mangabeira,1,5,6,0.6
morro da conceicao,3,5,6,0.6
vasco da gama,2,5,6,0.6
brejo da guabiraba,4,8,10,0.35714285714285715
brejo de beberibe,0,8,10,0.35714285714285715
corrego do jenipapo,4,8,10,0.35714285714285715
guabiraba,4,8,10,0.35714285714285715
macaxeira,2,8,10,0.35714285714285715
nova descoberta,3,8,10,0.35714285714285715
passarinho,2,8,10,0.35714285714285715
pau-ferro,1,8,10,0.35714285714285715
cordeiro,4,7,11,0.5238095238095238
ilha do retiro,2,7,11,0.5238095238095238
iputinga,1,7,11,0.5238095238095238
madalena,4,7,11,0.5238095238095238
prado,4,7,11,0.5238095238095238
torre,3,7,11,0.5238095238095238
zumbi,4,7,11,0.5238095238095238
engenho do meio,1,2,1,1.0
torroes,1,2,1,1.0
caxanga,1,3,2,0.6666666666666666
cidade universitaria,1,3,2,0.6666666666666666
varzea,2,3,2,0.6666666666666666
afogados,3,5,8,0.8
bongi,3,5,8,0.8
mangueira,3,5,8,0.8
mustardinha,4,5,8,0.8
san martin,3,5,8,0.8
areias,3,4,4,0.6666666666666666
cacote,1,4,4,0.6666666666666666
estancia,2,4,4,0.6666666666666666
jiquia,2,4,4,0.6666666666666666
barro,2,7,12,0.5714285714285714
coqueiral,3,7,12,0.5714285714285714
curado,4,7,12,0.5714285714285714
jardim sao paulo,3,7,12,0.5714285714285714
sancho,4,7,12,0.5714285714285714
tejipio,5,7,12,0.5714285714285714
toto,3,7,12,0.5714285714285714
boa viagem,2,5,5,0.5
brasilia teimosa,1,5,5,0.5
imbiribeira,3,5,5,0.5
ipsep,1,5,5,0.5
pina,3,5,5,0.5
ibura,1,2,1,1.0
jordao,1,2,1,1.0
cohab,0,1,0,0.0
